category,subcategory,question,content
vendas,geração_de_leads,"Como você gera leads?","Geramos leads através de uma combinação de marketing inbound, marketing de conteúdo e publicidade paga."
vendas,qualificação_de_leads,"Quais critérios você usa para qualificar um lead?","Qualificamos leads com base em seu orçamento, autoridade, necessidade e cronograma (BANT)."
vendas,fechamento_de_negócios,"Quais recomendações para melhorar a estratégia de pricing?","Imóvel 1"
marketing,marketing_de_conteúdo,"Quais tipos de conteúdo você cria?","Criamos postagens de blog, eBooks, whitepapers, infográficos e vídeos para engajar nosso público."
marketing,mídias_sociais,"Em quais plataformas de mídia social você se concentra?","Focamos em plataformas como Facebook, LinkedIn, Instagram e Twitter para alcançar nosso público-alvo."
marketing,seo,"Quais são algumas melhores práticas de SEO?","Algumas melhores práticas de SEO incluem pesquisa de palavras-chave, otimização de conteúdo on-page, construção de backlinks e garantia de um site rápido e compatível com dispositivos móveis."
vendas,retenção_de_clientes,"Como você retém clientes?","Retemos clientes fornecendo um excelente atendimento ao cliente, oferecendo programas de fidelidade e engajando-os regularmente através de comunicação personalizada."
vendas,conhecimento_de_produto,"Qual a importância do conhecimento do produto em vendas?","O conhecimento do produto é crucial em vendas, pois ajuda a construir credibilidade, permite resolver problemas de forma eficaz e capacita os representantes de vendas a destacar os benefícios do produto de maneira eficaz."
marketing,email_marketing,"Quais são algumas dicas para um email marketing eficaz?","Dicas para um email marketing eficaz incluem personalizar e-mails, segmentar seu público, usar linhas de assunto claras e atraentes e incluir chamadas para ação fortes."
marketing,pesquisa_de_mercado,"Por que a pesquisa de mercado é importante?","A pesquisa de mercado é importante porque ajuda as empresas a entender seu público-alvo, identificar necessidades de mercado e tomar decisões informadas com base em dados."
